模型版本,验证对象,调整策略,数据量,数据配比(推/物/用/世),lr,epoch,lora_r,lora_alpha,lora_dropout,lora_target_modules,gradient_accumulation_steps,max_len,总分,懂物料得分,懂用户得分,懂推荐得分,懂世界得分,结论,备注
baseline(预训练),官方给的未微调基线,无(直接评测OneReason-0.8B),0,0,-,0,-,-,-,-,-,-,0.6655,0.1533,0.0055,0.3680,0.1387,SFT前的起点,官方FAQ提供;SFT冻不动懂物料/略伤懂世界
v1.0.0,官方数据直接SFT基线,无数据增强;格式处理=drop-long@4096(32480→30705)+剥CoT/non-thinking,30705,62.5/33.8/3.6/0,1e-4,1,8,16,0,all,16,4096,0.8596,0.1533,0.1006,0.4726,0.1331,最高分基线,CHAMPION;non-thinking是功臣、drop-long无意饿了懂用户
v1.0.1,多训几轮是否更好,3 epochs,~30705,62.5/33.8/3.6/0,1e-4,3,8,16,0,all,16,4096,0.8447,0.1533,0.1194,0.4323,0.1398,3轮过拟合懂推荐下降,低于champion
v1.0.2,加增强数据是否更好,加增强数据(有goods bug)未训完,86k(~1000步),增强大量稀释,1e-4,<1,8,16,0,all,16,4096,0.7354,0.1533,0.0911,0.3437,0.1472,goods bug+未训完懂推荐崩,最差之一
v1.0.3,解冻embed/lm_head是否提升,additional_target=embed_tokens+lm_head(全量训itemic),32480,官方,1e-4,1,8,16,0,all+embed/lm_head,16,4096,0.7212,0.1533,0.1053,0.3310,0.1316,itemic熵塌缩懂推荐崩,死路勿再试
exp1,官方数据完整处理,智能截断(保留全部记录砍prompt前部),32480,59/32/8.9/0,1e-4,1,8,16,0,all,16,4096,0.8529,0.1840,0.1049,0.4373,0.1268,约等champion物料涨但截断伤推荐,智能截断双刃剑
raw@1500,最少处理是否更好,保留CoT+/think(thinking模式)不截不丢,32480,官方全保留,1e-4,1(取step1500),8,16,0,all,16,8192,0.7575,0.1533,0.0947,0.3987,0.1108,thinking模式伤懂推荐,thinking死路
exp4,懂物料grounding增强是否提升懂物料,加懂物料增强26.5k+drop截断,57227,33.6/64.5/5.1/0,1e-4,1,8,16,0,all,16,4096,0.8063,0.1226,0.0935,0.4600,0.1301,增强backfire懂物料反降+懂推荐被稀释,配比失衡(物料64.5%挤占推荐)
exp5,补懂用户+懂世界两个数据缺口,cutoff8192恢复懂用户+加懂世界5000(CMMLU+GSM8K+LogiQA),37457,51/28/8/13,1e-4,1,8,16,0,all,16,8192,0.8446,0.1533,0.0959,0.4408,0.1546,懂世界+0.0215成功但懂推荐被稀释-0.032/懂用户恢复失败-0.005,懂世界方向验证有效;cutoff8192恢复懂用户无效(评测截断);稀释懂推荐得不偿失
exp6,champion+仅加懂世界(退回cutoff4096),champion配方(drop-long@4096)+懂世界5000,不恢复懂用户,35705,53.8/29/3/14,1e-4,1,8,16,0,all,16,4096,训练中,训练中,训练中,训练中,训练中,只保留exp5有效部分(懂世界)去掉无效部分,最有希望超champion
